can_select,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank_type,form_rank_type,points_per_game_rank_type,selected_rank_type,starts_per_90,clean_sheets_per_90,position_name,age,years_in_team,status_a,status_d,status_i,status_s,status_u,team_name_Arsenal,team_name_Aston Villa,team_name_Bournemouth,team_name_Brentford,team_name_Brighton,team_name_Chelsea,team_name_Crystal Palace,team_name_Everton,team_name_Fulham,team_name_Ipswich,team_name_Leicester,team_name_Liverpool,team_name_Man City,team_name_Man Utd,team_name_Newcastle,team_name_Nott'm Forest,team_name_Southampton,team_name_Spurs,team_name_West Ham,team_name_Wolves
0,100.0,100.0,0,0,-3,3,0,7.8,1.5,7,0.0,0,82,3.9,5.7,116,1245059,0,2244119,0,0.0,14.1,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,26,4.85,6.68,11.53,22.16,0,0,0,0,0,0,0,48,7,42,25,3.0,1.0,2.0,0.19,0.0,0.26,0.45,0.86,0.81,9,339,28,19,1.01,0.43,Midfielder,26.6,3.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,1,-1,3,4.8,1.5,2,0.0,0,56,3.7,32.6,142,4184559,0,3511572,0,0.0,25.4,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,38,0.0,0.03,0.03,35.03,0,0,0,0,0,0,0,11,12,82,11,10.0,10.0,10.0,0.0,2.26,0.0,0.0,0.92,0.89,1,82,12,1,1.0,0.34,Goalkeeper,29.8,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,-2,2,1,8.2,1.5,2,0.0,0,63,3.6,4.2,127,593806,0,823007,0,0.0,20.2,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,33,3.51,5.64,9.14,27.13,0,0,0,0,0,0,0,12,9,56,19,2.0,2.0,10.0,0.11,0.0,0.18,0.29,0.86,0.92,28,321,39,27,1.05,0.35,Midfielder,26.5,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,4,-4,4,3.8,1.5,1,0.0,0,104,5.1,20.2,127,8222595,0,9344351,0,0.0,12.2,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,20,6.87,7.78,14.65,17.72,0,0,0,0,0,0,0,37,15,13,10,1.0,10.0,1.0,0.36,0.0,0.41,0.77,0.93,1.1,3,345,6,5,1.04,0.37,Midfielder,23.9,6.6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,0.0,0,0,4,-4,3,0.0,0.0,0,0.0,0,64,3.7,25.8,130,4071193,0,5556474,0,0.0,20.3,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,35,2.42,1.28,3.7,30.32,0,0,0,0,0,0,0,27,66,72,42,10.0,10.0,10.0,0.07,0.0,0.04,0.11,0.9,0.86,4,265,12,2,1.04,0.36,Defender,24.3,6.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,-1,1,0,3.8,1.5,2,0.0,0,49,3.1,0.7,108,307818,0,289781,0,0.0,22.0,2793,4,3,9,30,0,0,0,4,0,0,8,567,626.6,377.9,223.0,123.2,31,2.27,2.64,4.91,30.83,0,0,0,0,0,0,0,31,80,100,69,10.0,10.0,10.0,0.07,0.0,0.09,0.16,0.99,0.97,155,174,61,76,1.0,0.29,Midfielder,32.1,4.8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,-2,2,1,2.2,1.5,10,0.0,0,43,2.1,0.1,27,16286,0,13951,0,0.0,6.3,250,1,0,1,1,0,0,0,0,0,0,2,99,91.8,109.1,48.0,25.0,2,0.38,0.54,0.92,2.69,0,0,0,0,0,0,0,146,85,115,127,10.0,10.0,10.0,0.14,0.0,0.19,0.33,0.97,0.36,117,143,84,164,0.72,0.36,Defender,28.1,5.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,0.0,0,0,-2,2,0,0.0,0.0,0,0.0,0,48,1.0,0.0,1,2219,0,8129,0,0.0,0.2,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.0,0.18,0.04,0,0,0,0,0,0,0,194,190,158,184,10.0,10.0,10.0,2.7,0.0,0.0,2.7,0.6,0.0,37,231,177,207,0.0,0.0,Defender,26.7,3.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,-3,3,2,5.5,1.5,4,0.0,0,67,4.0,4.5,152,1341936,0,1105621,0,0.0,22.7,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,28,6.74,4.12,10.86,24.76,0,0,0,0,0,0,0,34,45,14,23,4.0,10.0,4.0,0.24,0.0,0.15,0.39,0.88,0.95,18,331,24,25,0.99,0.39,Midfielder,30.6,2.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,100.0,0,0,-3,3,0,4.2,1.5,5,0.0,0,62,2.9,4.4,50,431657,0,1011245,0,0.0,8.1,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,13,0.46,1.3,1.76,16.88,0,0,0,0,0,0,0,103,59,82,88,10.0,10.0,10.0,0.03,0.0,0.1,0.13,1.27,0.98,5,264,44,31,0.98,0.38,Defender,27.8,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
