can_select,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank_type,form_rank_type,points_per_game_rank_type,selected_rank_type,starts_per_90,clean_sheets_per_90,position_name,age,years_in_team,status_a,status_d,status_i,status_s,team_name_Arsenal,team_name_Aston Villa,team_name_Bournemouth,team_name_Brentford,team_name_Brighton,team_name_Burnley,team_name_Chelsea,team_name_Crystal Palace,team_name_Everton,team_name_Fulham,team_name_Leeds,team_name_Liverpool,team_name_Man City,team_name_Man Utd,team_name_Newcastle,team_name_Nott'm Forest,team_name_Spurs,team_name_Sunderland,team_name_West Ham,team_name_Wolves
1,0.0,0.0,0,0,0,0,0,3.8,,0,0.0,0,55,2.9,0.5,50,0,0,0,0,0.0,9.1,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,0,13,0.46,1.3,1.76,16.88,82,51,72,72,10.0,10.0,10.0,0.03,0.0,0.1,0.13,1.27,0.98,15,195,41,149,0.98,0.38,Defender,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,3.1,,0,0.0,0,50,2.7,0.3,40,0,0,0,0,0.0,8.0,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,0,5,0.65,0.52,1.17,3.21,115,81,85,105,10.0,10.0,10.0,0.11,0.0,0.09,0.2,0.56,0.17,37,167,53,174,0.87,0.69,Defender,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.5,,0,0.0,0,40,0.0,1.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,189,188,184,189,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,201,62,189,68,0.0,0.0,Defender,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.5,,0,0.0,0,40,0.0,0.6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,192,191,189,192,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,208,69,192,125,0.0,0.0,Defender,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,1.5,,0,0.0,0,40,0.0,0.6,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,174,172,166,174,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,181,42,175,133,0.0,0.0,Defender,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,3.5,,0,0.0,0,100,5.1,17.3,127,0,0,0,0,0.0,12.7,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,0,20,6.87,7.78,14.65,17.72,36,15,13,10,10.0,10.0,10.0,0.36,0.0,0.41,0.77,0.93,1.1,3,295,6,6,1.04,0.37,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,3.1,,0,0.0,0,80,3.9,3.8,116,0,0,0,0,0.0,14.5,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,0,26,4.85,6.68,11.53,22.16,46,7,43,25,10.0,10.0,10.0,0.19,0.0,0.26,0.45,0.86,0.81,8,286,28,31,1.01,0.43,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.8,,0,0.0,0,70,3.8,5.3,120,0,0,0,0,0.0,17.1,2028,7,5,6,28,0,0,0,3,0,0,12,425,479.2,475.1,998.0,195.3,0,27,9.62,2.86,12.48,29.55,54,59,5,29,10.0,10.0,10.0,0.43,0.0,0.13,0.56,1.31,1.24,24,276,31,23,1.2,0.27,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.8,,0,0.0,0,70,3.8,4.5,125,0,0,0,0,0.0,17.9,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,0,25,7.13,4.46,11.59,26.22,41,44,8,21,10.0,10.0,10.0,0.28,0.0,0.18,0.46,1.03,0.99,26,278,32,28,0.99,0.39,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,0.0,0,0,0,0,0,2.8,,0,0.0,0,70,4.0,4.5,152,0,0,0,0,0.0,21.7,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,0,28,6.74,4.12,10.86,24.76,33,42,14,23,10.0,10.0,10.0,0.24,0.0,0.15,0.39,0.88,0.95,17,269,23,27,0.99,0.39,Midfielder,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
